file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\global.js,35,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,25
static\global.js,36,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,7
static\global.js,37,js,3322236c,JuanPablo Andrew Heredia,2025-03-20,10:01:47,-03:00,2025-03-20T10:01:47-03:00,0,0
static\global.js,38,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,39
static\global.js,39,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,16
static\global.js,40,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,25
static\global.js,41,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,42,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,70
static\global.js,43,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,31
static\global.js,44,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,4
static\global.js,45,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,46,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,33
static\global.js,47,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,24
static\global.js,48,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,4
static\global.js,49,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,50,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,17
static\global.js,51,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,3
static\global.js,52,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,53,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,54,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,50
static\global.js,55,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,34
static\global.js,56,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,16
static\global.js,57,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,18
static\global.js,58,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,61
static\global.js,59,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,43
static\global.js,60,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,41
static\global.js,61,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,19
static\global.js,62,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,15
static\global.js,63,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,4
static\global.js,64,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,65,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,48
static\global.js,66,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,67,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,68,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,53
static\global.js,69,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,85
static\global.js,70,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,0
static\global.js,71,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,49
static\global.js,72,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,5
static\global.js,73,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,74,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,75,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,33
